:SRC_VID(string),:DST_VID(string)
Галчевская Карина Владимировна,189
Офицеров Олег Романович,206
Жандарова Лариса Германовна,445
Масимова Яна Дамировна,503
Мухтарова Алена Яковлевна,571
Русских Кира Константиновна,595
Федонкина Кристина Маратовна,637
Чернолусская Екатерина Марселевна,741
Оранский Владимир Артурович,996
Ардатов Андрей Анатольевич,1210
Рифтин Кирилл Анатольевич,1392
Балог Вадим Никитович,1543
Голиборода Жанна Александровна,1679
Слободяникова Галина Германовна,1903
Вахрушкова Екатерина Маратовна,1935
Сероштанов Александр Евгеньевич,2012
Канева Наталья Робертовна,2053
Маркидонов Юрий Антонович,2128
Гаглоева Диана Германовна,2663
Скулкин Глеб Альбертович,2679
Малявкин Роберт Григорьевич,3203
Коровенко Наталья Валерьевна,3311
Приорова Любовь Борисовна,4229
Ермошкин Роберт Ярославович,4243
Хапланов Артем Максимович,4535
Кривозубенко Рамиль Артемович,4563
Сушинский Артур Кириллович,4962
Наумкин Юрий Анатольевич,5023
Партыко Алена Геннадьевна,5417
Батюков Вячеслав Артемович,5431
Модзалевская Карина Дмитриевна,5641
Тулебаева Елизавета Георгиевна,6034
Жданов Глеб Маратович,6129
Хохленков Яков Григорьевич,6216
Зеленов Егор Иванович,6639
Макавеева Надежда Михаиловна,6793
Кожелупова Мария Даниловна,6921
Филипович Тимур Ефимович,6944
Айрапетов Федор Эдуардович,6985
Мормулев Иван Алексеевич,7370
Телепнева Александра Ильдаровна,7373
Найденышева Александра Валентиновна,7918
Столин Федор Игоревич,7957
Износкова Анастасия Глебовна,8171
Наклеушев Рамиль Ильдарович,8469
Архипенко Жанна Дмитриевна,8524
Дальский Александр Егорович,8684
Неумоева Алена Сергеевна,8750
Рушева Жанна Ефимовна,9285
Ясырев Яков Радикович,9347
Щеблыкина Валерия Вячеславовна,9589
Тишков Филипп Леонидович,9667
Комогорова Антонина Павловна,9738
Олтуфьев Егор Маратович,9762
Войников Тимур Витальевич,10192
Кузмичев Ян Никитович,10269
Бодякин Андрей Игоревич,10866
Файбишевская Эльвира Васильевна,11072
Горелых Карина Эдуардовна,11146
Бухараева Оксана Ярославовна,11230
Тихонычева Маргарита Ивановна,11304
Растова Антонина Дмитриевна,11587
Шиндяпова Анжелика Петровна,11826
Тарарыкин Юрий Янович,11861
Арифулина Анастасия Васильевна,12522
Торцев Сергей Яковлев,12952
Лялин Рамиль Германович,12970
Флорентьева Раиса Евгеньевна,13112
Саенков Николай Витальевич,13344
Вирченко Артур Янович,13529
Витушкина Людмила Никитовна,13702
Куницын Виктор Григорьевич,13726
Шаройко Михаил Романович,13753
Асадова Людмила Яновна,14020
Калюжина Альбина Геннадьевна,14054
Пищалина Евгения Владимировна,14224
Павлюковец Валентина Филипповна,14241
Яник Раиса Алексеевна,14404
Немтин Евгений Станиславович,14440
